[2023-02-10T16:14:20.103+0000] {taskinstance.py:1083} INFO - Dependencies all met for <TaskInstance: database-build.convertCSVToJson scheduled__2023-02-01T00:00:00+00:00 [queued]>
[2023-02-10T16:14:20.117+0000] {taskinstance.py:1083} INFO - Dependencies all met for <TaskInstance: database-build.convertCSVToJson scheduled__2023-02-01T00:00:00+00:00 [queued]>
[2023-02-10T16:14:20.119+0000] {taskinstance.py:1279} INFO - 
--------------------------------------------------------------------------------
[2023-02-10T16:14:20.120+0000] {taskinstance.py:1280} INFO - Starting attempt 1 of 2
[2023-02-10T16:14:20.122+0000] {taskinstance.py:1281} INFO - 
--------------------------------------------------------------------------------
[2023-02-10T16:14:20.140+0000] {taskinstance.py:1300} INFO - Executing <Task(PythonOperator): convertCSVToJson> on 2023-02-01 00:00:00+00:00
[2023-02-10T16:14:20.149+0000] {standard_task_runner.py:55} INFO - Started process 465 to run task
[2023-02-10T16:14:20.155+0000] {standard_task_runner.py:82} INFO - Running: ['***', 'tasks', 'run', 'database-build', 'convertCSVToJson', 'scheduled__2023-02-01T00:00:00+00:00', '--job-id', '976', '--raw', '--subdir', 'DAGS_FOLDER/db.py', '--cfg-path', '/tmp/tmp5fnzm6p_']
[2023-02-10T16:14:20.157+0000] {standard_task_runner.py:83} INFO - Job 976: Subtask convertCSVToJson
[2023-02-10T16:14:20.243+0000] {task_command.py:388} INFO - Running <TaskInstance: database-build.convertCSVToJson scheduled__2023-02-01T00:00:00+00:00 [running]> on host 09837ae8efe0
[2023-02-10T16:14:20.336+0000] {taskinstance.py:1509} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=Kevin Chalmers
AIRFLOW_CTX_DAG_ID=database-build
AIRFLOW_CTX_TASK_ID=convertCSVToJson
AIRFLOW_CTX_EXECUTION_DATE=2023-02-01T00:00:00+00:00
AIRFLOW_CTX_TRY_NUMBER=1
AIRFLOW_CTX_DAG_RUN_ID=scheduled__2023-02-01T00:00:00+00:00
[2023-02-10T16:14:20.346+0000] {logging_mixin.py:137} INFO - Woot
[2023-02-10T16:14:20.683+0000] {logging_mixin.py:137} INFO - Dustin Russell
[2023-02-10T16:14:20.684+0000] {logging_mixin.py:137} INFO - Richard White
[2023-02-10T16:14:20.685+0000] {logging_mixin.py:137} INFO - Brittany Nichols
[2023-02-10T16:14:20.686+0000] {logging_mixin.py:137} INFO - Colton Kelly
[2023-02-10T16:14:20.687+0000] {logging_mixin.py:137} INFO - William Perry
[2023-02-10T16:14:20.688+0000] {logging_mixin.py:137} INFO - Thomas Cummings
[2023-02-10T16:14:20.689+0000] {logging_mixin.py:137} INFO - Timothy Ballard
[2023-02-10T16:14:20.690+0000] {logging_mixin.py:137} INFO - Richard Washington
[2023-02-10T16:14:20.690+0000] {logging_mixin.py:137} INFO - Joshua Lam
[2023-02-10T16:14:20.691+0000] {logging_mixin.py:137} INFO - Grant Jackson
[2023-02-10T16:14:20.692+0000] {logging_mixin.py:137} INFO - Erin Baker
[2023-02-10T16:14:20.693+0000] {logging_mixin.py:137} INFO - Scott Flowers
[2023-02-10T16:14:20.695+0000] {logging_mixin.py:137} INFO - James Adams
[2023-02-10T16:14:20.696+0000] {logging_mixin.py:137} INFO - Heather Alvarado
[2023-02-10T16:14:20.696+0000] {logging_mixin.py:137} INFO - Jennifer Snow
[2023-02-10T16:14:20.697+0000] {logging_mixin.py:137} INFO - Mario Jackson
[2023-02-10T16:14:20.698+0000] {logging_mixin.py:137} INFO - Kevin Collins
[2023-02-10T16:14:20.699+0000] {logging_mixin.py:137} INFO - Danielle Garcia
[2023-02-10T16:14:20.700+0000] {logging_mixin.py:137} INFO - Brenda Jackson
[2023-02-10T16:14:20.701+0000] {logging_mixin.py:137} INFO - Ashley Parker
[2023-02-10T16:14:20.702+0000] {logging_mixin.py:137} INFO - Angela Hickman
[2023-02-10T16:14:20.703+0000] {logging_mixin.py:137} INFO - Carol Rodriguez
[2023-02-10T16:14:20.703+0000] {logging_mixin.py:137} INFO - Vernon Anderson
[2023-02-10T16:14:20.704+0000] {logging_mixin.py:137} INFO - Jesus Church
[2023-02-10T16:14:20.705+0000] {logging_mixin.py:137} INFO - Michelle Medina
[2023-02-10T16:14:20.706+0000] {logging_mixin.py:137} INFO - Nancy Bryant
[2023-02-10T16:14:20.707+0000] {logging_mixin.py:137} INFO - Jennifer Martinez
[2023-02-10T16:14:20.708+0000] {logging_mixin.py:137} INFO - Amy Dougherty
[2023-02-10T16:14:20.709+0000] {logging_mixin.py:137} INFO - Alexis Sanders
[2023-02-10T16:14:20.710+0000] {logging_mixin.py:137} INFO - Austin Salazar
[2023-02-10T16:14:20.711+0000] {logging_mixin.py:137} INFO - Amy Williams
[2023-02-10T16:14:20.712+0000] {logging_mixin.py:137} INFO - Richard Haynes
[2023-02-10T16:14:20.712+0000] {logging_mixin.py:137} INFO - Christine Stark
[2023-02-10T16:14:20.713+0000] {logging_mixin.py:137} INFO - Anita Medina
[2023-02-10T16:14:20.714+0000] {logging_mixin.py:137} INFO - Mr. Thomas Duran
[2023-02-10T16:14:20.715+0000] {logging_mixin.py:137} INFO - Mr. Russell Peterson
[2023-02-10T16:14:20.716+0000] {logging_mixin.py:137} INFO - Jack Richard
[2023-02-10T16:14:20.717+0000] {logging_mixin.py:137} INFO - Michelle Erickson
[2023-02-10T16:14:20.718+0000] {logging_mixin.py:137} INFO - Mitchell Williams
[2023-02-10T16:14:20.719+0000] {logging_mixin.py:137} INFO - Adrian Herrera
[2023-02-10T16:14:20.720+0000] {logging_mixin.py:137} INFO - Michael Brady
[2023-02-10T16:14:20.721+0000] {logging_mixin.py:137} INFO - Jamie Zhang
[2023-02-10T16:14:20.722+0000] {logging_mixin.py:137} INFO - Helen Brennan
[2023-02-10T16:14:20.723+0000] {logging_mixin.py:137} INFO - John Myers
[2023-02-10T16:14:20.723+0000] {logging_mixin.py:137} INFO - Patricia Nash
[2023-02-10T16:14:20.724+0000] {logging_mixin.py:137} INFO - Michael Johnson
[2023-02-10T16:14:20.725+0000] {logging_mixin.py:137} INFO - Anita Berger
[2023-02-10T16:14:20.726+0000] {logging_mixin.py:137} INFO - Jason Guerrero DVM
[2023-02-10T16:14:20.727+0000] {logging_mixin.py:137} INFO - Kimberly Davis
[2023-02-10T16:14:20.728+0000] {logging_mixin.py:137} INFO - Bryan Hansen
[2023-02-10T16:14:20.729+0000] {logging_mixin.py:137} INFO - Rebecca Obrien
[2023-02-10T16:14:20.730+0000] {logging_mixin.py:137} INFO - Sarah Santiago
[2023-02-10T16:14:20.731+0000] {logging_mixin.py:137} INFO - Christine Lane
[2023-02-10T16:14:20.731+0000] {logging_mixin.py:137} INFO - Jerry Lewis
[2023-02-10T16:14:20.732+0000] {logging_mixin.py:137} INFO - Stephanie Miller
[2023-02-10T16:14:20.733+0000] {logging_mixin.py:137} INFO - Kristi Bradley
[2023-02-10T16:14:20.734+0000] {logging_mixin.py:137} INFO - Darren Moore
[2023-02-10T16:14:20.735+0000] {logging_mixin.py:137} INFO - Kristina Cunningham
[2023-02-10T16:14:20.736+0000] {logging_mixin.py:137} INFO - Laurie Moore
[2023-02-10T16:14:20.737+0000] {logging_mixin.py:137} INFO - Aaron Lewis
[2023-02-10T16:14:20.738+0000] {logging_mixin.py:137} INFO - Theresa Vang
[2023-02-10T16:14:20.739+0000] {logging_mixin.py:137} INFO - Chase Reese
[2023-02-10T16:14:20.739+0000] {logging_mixin.py:137} INFO - Matthew Ferguson
[2023-02-10T16:14:20.740+0000] {logging_mixin.py:137} INFO - Victoria Lewis
[2023-02-10T16:14:20.741+0000] {logging_mixin.py:137} INFO - Jon Scott
[2023-02-10T16:14:20.742+0000] {logging_mixin.py:137} INFO - Lisa Campbell
[2023-02-10T16:14:20.743+0000] {logging_mixin.py:137} INFO - David Ramirez
[2023-02-10T16:14:20.744+0000] {logging_mixin.py:137} INFO - Gabriel Rosario
[2023-02-10T16:14:20.745+0000] {logging_mixin.py:137} INFO - Kristi Johnson
[2023-02-10T16:14:20.746+0000] {logging_mixin.py:137} INFO - Jennifer Schwartz
[2023-02-10T16:14:20.747+0000] {logging_mixin.py:137} INFO - Daniel Norton
[2023-02-10T16:14:20.748+0000] {logging_mixin.py:137} INFO - Richard Montoya
[2023-02-10T16:14:20.749+0000] {logging_mixin.py:137} INFO - Daniel Norris
[2023-02-10T16:14:20.750+0000] {logging_mixin.py:137} INFO - Chad Taylor
[2023-02-10T16:14:20.751+0000] {logging_mixin.py:137} INFO - Angie Allen
[2023-02-10T16:14:20.752+0000] {logging_mixin.py:137} INFO - Michael Brooks
[2023-02-10T16:14:20.753+0000] {logging_mixin.py:137} INFO - Hannah Poole
[2023-02-10T16:14:20.753+0000] {logging_mixin.py:137} INFO - Caitlin Ray
[2023-02-10T16:14:20.754+0000] {logging_mixin.py:137} INFO - Mr. Steven Gardner
[2023-02-10T16:14:20.755+0000] {logging_mixin.py:137} INFO - Jennifer Macdonald
[2023-02-10T16:14:20.756+0000] {logging_mixin.py:137} INFO - Vanessa Small
[2023-02-10T16:14:20.758+0000] {logging_mixin.py:137} INFO - Dennis Gray
[2023-02-10T16:14:20.759+0000] {logging_mixin.py:137} INFO - Sandra Kirk
[2023-02-10T16:14:20.759+0000] {logging_mixin.py:137} INFO - Jason Wagner
[2023-02-10T16:14:20.761+0000] {logging_mixin.py:137} INFO - David Owen
[2023-02-10T16:14:20.762+0000] {logging_mixin.py:137} INFO - Rose Terrell
[2023-02-10T16:14:20.763+0000] {logging_mixin.py:137} INFO - James Green MD
[2023-02-10T16:14:20.763+0000] {logging_mixin.py:137} INFO - Tammy Patel
[2023-02-10T16:14:20.764+0000] {logging_mixin.py:137} INFO - Joseph Lucero
[2023-02-10T16:14:20.765+0000] {logging_mixin.py:137} INFO - Stephanie Rojas
[2023-02-10T16:14:20.766+0000] {logging_mixin.py:137} INFO - Brittany Johnson
[2023-02-10T16:14:20.767+0000] {logging_mixin.py:137} INFO - Christina Cummings
[2023-02-10T16:14:20.768+0000] {logging_mixin.py:137} INFO - Eric Downs
[2023-02-10T16:14:20.769+0000] {logging_mixin.py:137} INFO - Paul Finley
[2023-02-10T16:14:20.770+0000] {logging_mixin.py:137} INFO - Danielle Jackson
[2023-02-10T16:14:20.771+0000] {logging_mixin.py:137} INFO - Anna Johnston
[2023-02-10T16:14:20.772+0000] {logging_mixin.py:137} INFO - Ashlee Hodges
[2023-02-10T16:14:20.772+0000] {logging_mixin.py:137} INFO - Thomas Francis
[2023-02-10T16:14:20.773+0000] {logging_mixin.py:137} INFO - Cody Baird
[2023-02-10T16:14:20.774+0000] {logging_mixin.py:137} INFO - Jeffrey Walter
[2023-02-10T16:14:20.775+0000] {logging_mixin.py:137} INFO - Hannah West
[2023-02-10T16:14:20.776+0000] {logging_mixin.py:137} INFO - Anthony Byrd
[2023-02-10T16:14:20.777+0000] {logging_mixin.py:137} INFO - Julie Ramirez
[2023-02-10T16:14:20.778+0000] {logging_mixin.py:137} INFO - Seth Peters
[2023-02-10T16:14:20.779+0000] {logging_mixin.py:137} INFO - Keith Salas
[2023-02-10T16:14:20.780+0000] {logging_mixin.py:137} INFO - Kathryn Evans
[2023-02-10T16:14:20.781+0000] {logging_mixin.py:137} INFO - Dr. Maria Scott
[2023-02-10T16:14:20.782+0000] {logging_mixin.py:137} INFO - Brenda Thomas
[2023-02-10T16:14:20.783+0000] {logging_mixin.py:137} INFO - Travis Douglas
[2023-02-10T16:14:20.784+0000] {logging_mixin.py:137} INFO - Kurt Santos
[2023-02-10T16:14:20.784+0000] {logging_mixin.py:137} INFO - Sean Parrish
[2023-02-10T16:14:20.785+0000] {logging_mixin.py:137} INFO - Brittany Walls
[2023-02-10T16:14:20.786+0000] {logging_mixin.py:137} INFO - Gail Brooks
[2023-02-10T16:14:20.787+0000] {logging_mixin.py:137} INFO - Valerie Johnson
[2023-02-10T16:14:20.788+0000] {logging_mixin.py:137} INFO - Jessica Dunn
[2023-02-10T16:14:20.789+0000] {logging_mixin.py:137} INFO - Chad Robinson
[2023-02-10T16:14:20.790+0000] {logging_mixin.py:137} INFO - Catherine Combs
[2023-02-10T16:14:20.791+0000] {logging_mixin.py:137} INFO - Joshua Boyd
[2023-02-10T16:14:20.792+0000] {logging_mixin.py:137} INFO - Alicia Barnett DVM
[2023-02-10T16:14:20.793+0000] {logging_mixin.py:137} INFO - Kevin Cervantes
[2023-02-10T16:14:20.794+0000] {logging_mixin.py:137} INFO - Larry Lester
[2023-02-10T16:14:20.795+0000] {logging_mixin.py:137} INFO - Deanna Espinoza
[2023-02-10T16:14:20.796+0000] {logging_mixin.py:137} INFO - Marilyn Davis
[2023-02-10T16:14:20.797+0000] {logging_mixin.py:137} INFO - Michael Weeks
[2023-02-10T16:14:20.798+0000] {logging_mixin.py:137} INFO - Brandon Stanton
[2023-02-10T16:14:20.798+0000] {logging_mixin.py:137} INFO - Ryan Boyer Jr.
[2023-02-10T16:14:20.799+0000] {logging_mixin.py:137} INFO - Amanda Elliott
[2023-02-10T16:14:20.800+0000] {logging_mixin.py:137} INFO - David Moore
[2023-02-10T16:14:20.801+0000] {logging_mixin.py:137} INFO - Andre Williams
[2023-02-10T16:14:20.802+0000] {logging_mixin.py:137} INFO - Jennifer Garcia
[2023-02-10T16:14:20.803+0000] {logging_mixin.py:137} INFO - Tracey Cook
[2023-02-10T16:14:20.804+0000] {logging_mixin.py:137} INFO - Michael Turner
[2023-02-10T16:14:20.804+0000] {logging_mixin.py:137} INFO - Diana Long
[2023-02-10T16:14:20.805+0000] {logging_mixin.py:137} INFO - John Bradley
[2023-02-10T16:14:20.806+0000] {logging_mixin.py:137} INFO - Ann Benjamin
[2023-02-10T16:14:20.808+0000] {logging_mixin.py:137} INFO - Shane House
[2023-02-10T16:14:20.809+0000] {logging_mixin.py:137} INFO - Erin Lee
[2023-02-10T16:14:20.809+0000] {logging_mixin.py:137} INFO - Joseph Gray
[2023-02-10T16:14:20.810+0000] {logging_mixin.py:137} INFO - Betty Gibson
[2023-02-10T16:14:20.811+0000] {logging_mixin.py:137} INFO - Kristen Graham
[2023-02-10T16:14:20.812+0000] {logging_mixin.py:137} INFO - Daniel Meza
[2023-02-10T16:14:20.813+0000] {logging_mixin.py:137} INFO - Sherri Carpenter
[2023-02-10T16:14:20.814+0000] {logging_mixin.py:137} INFO - Andrea Sanchez
[2023-02-10T16:14:20.815+0000] {logging_mixin.py:137} INFO - Jordan Rios
[2023-02-10T16:14:20.816+0000] {logging_mixin.py:137} INFO - Elizabeth Jackson
[2023-02-10T16:14:20.817+0000] {logging_mixin.py:137} INFO - Elizabeth Myers
[2023-02-10T16:14:20.818+0000] {logging_mixin.py:137} INFO - Juan Barnes
[2023-02-10T16:14:20.818+0000] {logging_mixin.py:137} INFO - Christopher Lozano
[2023-02-10T16:14:20.819+0000] {logging_mixin.py:137} INFO - Jacqueline Griffin
[2023-02-10T16:14:20.820+0000] {logging_mixin.py:137} INFO - Ryan Mason
[2023-02-10T16:14:20.821+0000] {logging_mixin.py:137} INFO - Jonathan Moore
[2023-02-10T16:14:20.822+0000] {logging_mixin.py:137} INFO - Abigail Landry
[2023-02-10T16:14:20.823+0000] {logging_mixin.py:137} INFO - Brenda Hernandez
[2023-02-10T16:14:20.824+0000] {logging_mixin.py:137} INFO - Zachary Pitts
[2023-02-10T16:14:20.825+0000] {logging_mixin.py:137} INFO - Amanda Rogers
[2023-02-10T16:14:20.826+0000] {logging_mixin.py:137} INFO - Cynthia Gray
[2023-02-10T16:14:20.827+0000] {logging_mixin.py:137} INFO - Tyler Barajas
[2023-02-10T16:14:20.828+0000] {logging_mixin.py:137} INFO - Michelle Leon
[2023-02-10T16:14:20.828+0000] {logging_mixin.py:137} INFO - Kathy Lang
[2023-02-10T16:14:20.829+0000] {logging_mixin.py:137} INFO - Scott Townsend MD
[2023-02-10T16:14:20.830+0000] {logging_mixin.py:137} INFO - Theresa Acosta
[2023-02-10T16:14:20.831+0000] {logging_mixin.py:137} INFO - David Jones
[2023-02-10T16:14:20.832+0000] {logging_mixin.py:137} INFO - Jeremy Robinson
[2023-02-10T16:14:20.833+0000] {logging_mixin.py:137} INFO - James Newton
[2023-02-10T16:14:20.834+0000] {logging_mixin.py:137} INFO - Tracey Wells
[2023-02-10T16:14:20.834+0000] {logging_mixin.py:137} INFO - Maria Nelson
[2023-02-10T16:14:20.835+0000] {logging_mixin.py:137} INFO - Christopher Griffith
[2023-02-10T16:14:20.836+0000] {logging_mixin.py:137} INFO - Zachary Griffin
[2023-02-10T16:14:20.837+0000] {logging_mixin.py:137} INFO - Amy Nguyen
[2023-02-10T16:14:20.838+0000] {logging_mixin.py:137} INFO - April Williams
[2023-02-10T16:14:20.839+0000] {logging_mixin.py:137} INFO - Marissa Kelly
[2023-02-10T16:14:20.840+0000] {logging_mixin.py:137} INFO - Brian Lopez PhD
[2023-02-10T16:14:20.841+0000] {logging_mixin.py:137} INFO - William Williams
[2023-02-10T16:14:20.842+0000] {logging_mixin.py:137} INFO - Norman Brown
[2023-02-10T16:14:20.842+0000] {logging_mixin.py:137} INFO - Charles Fuentes
[2023-02-10T16:14:20.843+0000] {logging_mixin.py:137} INFO - Anthony Chang
[2023-02-10T16:14:20.844+0000] {logging_mixin.py:137} INFO - Mary Bell
[2023-02-10T16:14:20.845+0000] {logging_mixin.py:137} INFO - Elizabeth Stuart
[2023-02-10T16:14:20.846+0000] {logging_mixin.py:137} INFO - Mary Mcdonald
[2023-02-10T16:14:20.847+0000] {logging_mixin.py:137} INFO - Martin Harrison
[2023-02-10T16:14:20.848+0000] {logging_mixin.py:137} INFO - Stephanie Fernandez
[2023-02-10T16:14:20.849+0000] {logging_mixin.py:137} INFO - Christopher Brown
[2023-02-10T16:14:20.850+0000] {logging_mixin.py:137} INFO - Alexander Stephenson
[2023-02-10T16:14:20.851+0000] {logging_mixin.py:137} INFO - Grace Diaz
[2023-02-10T16:14:20.852+0000] {logging_mixin.py:137} INFO - Frank Bartlett
[2023-02-10T16:14:20.853+0000] {logging_mixin.py:137} INFO - Audrey Andersen
[2023-02-10T16:14:20.854+0000] {logging_mixin.py:137} INFO - David Green
[2023-02-10T16:14:20.855+0000] {logging_mixin.py:137} INFO - Joshua Diaz Jr.
[2023-02-10T16:14:20.856+0000] {logging_mixin.py:137} INFO - Emily Garcia
[2023-02-10T16:14:20.857+0000] {logging_mixin.py:137} INFO - Devin Hall
[2023-02-10T16:14:20.858+0000] {logging_mixin.py:137} INFO - Phillip Garner
[2023-02-10T16:14:20.859+0000] {logging_mixin.py:137} INFO - Katherine Estrada
[2023-02-10T16:14:20.860+0000] {logging_mixin.py:137} INFO - Corey Saunders
[2023-02-10T16:14:20.861+0000] {logging_mixin.py:137} INFO - Kimberly Collins
[2023-02-10T16:14:20.862+0000] {logging_mixin.py:137} INFO - Amy Elliott
[2023-02-10T16:14:20.862+0000] {logging_mixin.py:137} INFO - Tanya Jones
[2023-02-10T16:14:20.863+0000] {logging_mixin.py:137} INFO - Patricia Gonzalez
[2023-02-10T16:14:20.864+0000] {logging_mixin.py:137} INFO - Jennifer Hill
[2023-02-10T16:14:20.865+0000] {logging_mixin.py:137} INFO - John Haynes
[2023-02-10T16:14:20.866+0000] {logging_mixin.py:137} INFO - Jacob Henry
[2023-02-10T16:14:20.867+0000] {logging_mixin.py:137} INFO - Daniel Clark
[2023-02-10T16:14:20.868+0000] {logging_mixin.py:137} INFO - Jonathon Taylor
[2023-02-10T16:14:20.869+0000] {logging_mixin.py:137} INFO - Jesse Evans
[2023-02-10T16:14:20.870+0000] {logging_mixin.py:137} INFO - James Martinez
[2023-02-10T16:14:20.871+0000] {logging_mixin.py:137} INFO - Kyle Reyes
[2023-02-10T16:14:20.871+0000] {logging_mixin.py:137} INFO - Terrence Barker
[2023-02-10T16:14:20.872+0000] {logging_mixin.py:137} INFO - Anthony Washington
[2023-02-10T16:14:20.874+0000] {logging_mixin.py:137} INFO - Dustin Le
[2023-02-10T16:14:20.875+0000] {logging_mixin.py:137} INFO - Bruce Clark
[2023-02-10T16:14:20.875+0000] {logging_mixin.py:137} INFO - Keith Anthony
[2023-02-10T16:14:20.876+0000] {logging_mixin.py:137} INFO - Jeremiah Stone
[2023-02-10T16:14:20.877+0000] {logging_mixin.py:137} INFO - Michael Haley
[2023-02-10T16:14:20.878+0000] {logging_mixin.py:137} INFO - Regina Carrillo
[2023-02-10T16:14:20.879+0000] {logging_mixin.py:137} INFO - Jacob Lee
[2023-02-10T16:14:20.880+0000] {logging_mixin.py:137} INFO - Thomas Gonzalez
[2023-02-10T16:14:20.881+0000] {logging_mixin.py:137} INFO - Mark Lawrence
[2023-02-10T16:14:20.882+0000] {logging_mixin.py:137} INFO - Matthew Anderson
[2023-02-10T16:14:20.883+0000] {logging_mixin.py:137} INFO - Nicholas Young
[2023-02-10T16:14:20.884+0000] {logging_mixin.py:137} INFO - Melvin Martinez
[2023-02-10T16:14:20.885+0000] {logging_mixin.py:137} INFO - Scott Green
[2023-02-10T16:14:20.885+0000] {logging_mixin.py:137} INFO - Dana Richards
[2023-02-10T16:14:20.886+0000] {logging_mixin.py:137} INFO - Lauren Moore
[2023-02-10T16:14:20.887+0000] {logging_mixin.py:137} INFO - Terry Campbell
[2023-02-10T16:14:20.889+0000] {logging_mixin.py:137} INFO - Ralph Jordan
[2023-02-10T16:14:20.890+0000] {logging_mixin.py:137} INFO - Noah Reyes
[2023-02-10T16:14:20.891+0000] {logging_mixin.py:137} INFO - Mr. Gregory Mills MD
[2023-02-10T16:14:20.892+0000] {logging_mixin.py:137} INFO - Michelle Yates
[2023-02-10T16:14:20.892+0000] {logging_mixin.py:137} INFO - Robin Reyes
[2023-02-10T16:14:20.893+0000] {logging_mixin.py:137} INFO - Rebecca Smith
[2023-02-10T16:14:20.894+0000] {logging_mixin.py:137} INFO - Nicole Torres
[2023-02-10T16:14:20.895+0000] {logging_mixin.py:137} INFO - Ronald Jones
[2023-02-10T16:14:20.896+0000] {logging_mixin.py:137} INFO - Michael Castaneda
[2023-02-10T16:14:20.897+0000] {logging_mixin.py:137} INFO - Christopher Krueger
[2023-02-10T16:14:20.898+0000] {logging_mixin.py:137} INFO - Jennifer Werner
[2023-02-10T16:14:20.900+0000] {logging_mixin.py:137} INFO - Ashley Smith
[2023-02-10T16:14:20.900+0000] {logging_mixin.py:137} INFO - Alyssa Fields
[2023-02-10T16:14:20.901+0000] {logging_mixin.py:137} INFO - John Scott
[2023-02-10T16:14:20.902+0000] {logging_mixin.py:137} INFO - Debra Delacruz
[2023-02-10T16:14:20.903+0000] {logging_mixin.py:137} INFO - James Madden
[2023-02-10T16:14:20.904+0000] {logging_mixin.py:137} INFO - Joseph Gentry
[2023-02-10T16:14:20.905+0000] {logging_mixin.py:137} INFO - Ashley Cabrera
[2023-02-10T16:14:20.906+0000] {logging_mixin.py:137} INFO - Jennifer Fernandez
[2023-02-10T16:14:20.907+0000] {logging_mixin.py:137} INFO - James Harris
[2023-02-10T16:14:20.908+0000] {logging_mixin.py:137} INFO - Candice Young
[2023-02-10T16:14:20.909+0000] {logging_mixin.py:137} INFO - Lisa Baker
[2023-02-10T16:14:20.910+0000] {logging_mixin.py:137} INFO - Brian Mills DDS
[2023-02-10T16:14:20.911+0000] {logging_mixin.py:137} INFO - Kristin Smith
[2023-02-10T16:14:20.912+0000] {logging_mixin.py:137} INFO - Jacob Collins
[2023-02-10T16:14:20.913+0000] {logging_mixin.py:137} INFO - Kimberly Harris
[2023-02-10T16:14:20.914+0000] {logging_mixin.py:137} INFO - Michael Hull
[2023-02-10T16:14:20.915+0000] {logging_mixin.py:137} INFO - Caitlin Todd
[2023-02-10T16:14:20.916+0000] {logging_mixin.py:137} INFO - Lisa Harris
[2023-02-10T16:14:20.917+0000] {logging_mixin.py:137} INFO - Mrs. Ann Stone
[2023-02-10T16:14:20.918+0000] {logging_mixin.py:137} INFO - Michelle Case
[2023-02-10T16:14:20.919+0000] {logging_mixin.py:137} INFO - Joe Lowe
[2023-02-10T16:14:20.920+0000] {logging_mixin.py:137} INFO - Randall Dunn
[2023-02-10T16:14:20.921+0000] {logging_mixin.py:137} INFO - Paula Vargas
[2023-02-10T16:14:20.922+0000] {logging_mixin.py:137} INFO - Daniel Walker
[2023-02-10T16:14:20.922+0000] {logging_mixin.py:137} INFO - James Jackson
[2023-02-10T16:14:20.923+0000] {logging_mixin.py:137} INFO - Shirley Woodard
[2023-02-10T16:14:20.924+0000] {logging_mixin.py:137} INFO - James Hayes
[2023-02-10T16:14:20.925+0000] {logging_mixin.py:137} INFO - Megan Austin
[2023-02-10T16:14:20.926+0000] {logging_mixin.py:137} INFO - Erin Robertson
[2023-02-10T16:14:20.927+0000] {logging_mixin.py:137} INFO - Robert Phillips
[2023-02-10T16:14:20.928+0000] {logging_mixin.py:137} INFO - Amy Torres
[2023-02-10T16:14:20.929+0000] {logging_mixin.py:137} INFO - Joshua Cox
[2023-02-10T16:14:20.930+0000] {logging_mixin.py:137} INFO - Duane Grimes
[2023-02-10T16:14:20.931+0000] {logging_mixin.py:137} INFO - Jennifer Burgess
[2023-02-10T16:14:20.933+0000] {logging_mixin.py:137} INFO - Carlos Duran
[2023-02-10T16:14:20.934+0000] {logging_mixin.py:137} INFO - Jason Johnson
[2023-02-10T16:14:20.934+0000] {logging_mixin.py:137} INFO - Cameron Greer
[2023-02-10T16:14:20.935+0000] {logging_mixin.py:137} INFO - Randall Williams
[2023-02-10T16:14:20.937+0000] {logging_mixin.py:137} INFO - Jessica Harris
[2023-02-10T16:14:20.938+0000] {logging_mixin.py:137} INFO - Joshua Rogers
[2023-02-10T16:14:20.939+0000] {logging_mixin.py:137} INFO - Jose Mahoney
[2023-02-10T16:14:20.940+0000] {logging_mixin.py:137} INFO - Brandy Fuentes
[2023-02-10T16:14:20.940+0000] {logging_mixin.py:137} INFO - Angelica Matthews
[2023-02-10T16:14:20.941+0000] {logging_mixin.py:137} INFO - Glenn Caldwell
[2023-02-10T16:14:20.942+0000] {logging_mixin.py:137} INFO - Cristian Delacruz
[2023-02-10T16:14:20.943+0000] {logging_mixin.py:137} INFO - Alexandra Price
[2023-02-10T16:14:20.944+0000] {logging_mixin.py:137} INFO - Heather Wilson
[2023-02-10T16:14:20.945+0000] {logging_mixin.py:137} INFO - Shawn Thompson
[2023-02-10T16:14:20.946+0000] {logging_mixin.py:137} INFO - Anna Daniel
[2023-02-10T16:14:20.947+0000] {logging_mixin.py:137} INFO - Joseph Cisneros
[2023-02-10T16:14:20.948+0000] {logging_mixin.py:137} INFO - Rebecca Estes
[2023-02-10T16:14:20.949+0000] {logging_mixin.py:137} INFO - Jeremy Porter
[2023-02-10T16:14:20.950+0000] {logging_mixin.py:137} INFO - Lisa Mann
[2023-02-10T16:14:20.951+0000] {logging_mixin.py:137} INFO - Michael Woods
[2023-02-10T16:14:20.952+0000] {logging_mixin.py:137} INFO - Madison Thompson
[2023-02-10T16:14:20.953+0000] {logging_mixin.py:137} INFO - Nancy Gomez
[2023-02-10T16:14:20.954+0000] {logging_mixin.py:137} INFO - Julie Blanchard
[2023-02-10T16:14:20.955+0000] {logging_mixin.py:137} INFO - Michael Smith
[2023-02-10T16:14:20.956+0000] {logging_mixin.py:137} INFO - Angel Huber
[2023-02-10T16:14:20.957+0000] {logging_mixin.py:137} INFO - Michael Coffey
[2023-02-10T16:14:20.958+0000] {logging_mixin.py:137} INFO - Patrick Walter
[2023-02-10T16:14:20.958+0000] {logging_mixin.py:137} INFO - Curtis Davis
[2023-02-10T16:14:20.959+0000] {logging_mixin.py:137} INFO - Kyle Stewart
[2023-02-10T16:14:20.960+0000] {logging_mixin.py:137} INFO - Angela Jimenez
